x,value
0,NA
0.645,NA
1.29,NA
1.935,NA
2.58,NA
3.225,NA
3.87,NA
4.515,NA
5.16,NA
5.805,NA
6.45,NA
7.095,NA
7.74,NA
8.385,NA
9.03,NA
9.675,NA
10.32,NA
10.965,NA
11.61,NA
12.255,NA
12.9,NA
13.545,NA
14.19,NA
14.835,NA
15.48,NA
16.125,NA
16.77,NA
17.415,NA
18.06,NA
18.705,NA
19.35,NA
19.995,NA
20.64,NA
21.285,NA
21.93,NA
22.575,NA
23.22,NA
23.865,NA
24.51,NA
25.155,NA
25.8,NA
26.445,NA
27.09,NA
27.735,NA
28.38,9.215558
29.025,9.083501667
29.67,9.617718143
30.315,11.3951098
30.96,10.8558197
31.605,10.2474619
32.25,10.3104568
32.895,10.3634568
33.54,10.415951
34.185,10.4732293
34.83,10.5413384
35.475,10.6289564
36.12,10.7332585
36.765,10.8259099
37.41,10.8919305
38.055,10.997921
38.7,11.3097813
39.345,11.774786
39.99,12.0194844
40.635,12.0915681
41.28,12.1136429
41.925,12.148003
42.57,12.2311055
43.215,12.3699043
43.86,12.5367043
44.505,12.7061091
45.15,12.8677735
45.795,13.0045455
46.44,13.1028854
47.085,13.1721242
47.73,13.2349055
48.375,13.3074636
49.02,13.3850872
49.665,13.4452427
50.31,13.4698296
50.955,13.4621246
51.6,13.4469296
52.245,13.456117
52.89,13.4633605
53.535,13.956324
54.18,13.47465071
54.825,12.68154671
55.47,11.45600275
56.115,10.13637583
56.76,8.881954667
57.405,8.501015
58.05,7.577765143
58.695,6.871646667
59.34,6.3043175
59.985,5.9656757
60.63,5.7223795
61.275,5.4980314
61.92,5.2794083
62.565,5.0743462
63.21,4.811728
63.855,4.4732873
64.5,4.1537938
65.145,3.9245926
65.79,3.7783732
66.435,3.6792437
67.08,3.52336
67.725,2.9385741
68.37,1.7520806
69.015,1.2708783
69.66,1.1886807
70.305,1.1905401
70.95,1.1723527
71.595,1.0405396
72.24,0.861435333
72.885,NA
73.53,NA
74.175,NA
74.82,NA
75.465,NA
76.11,NA
76.755,NA
77.4,NA
78.045,NA
78.69,NA
79.335,NA
79.98,NA
80.625,NA
81.27,NA
81.915,NA
82.56,0.8801615
83.205,1.4083825
83.85,NA
84.495,NA
85.14,NA
85.785,NA
86.43,NA
87.075,NA
87.72,3.827233
88.365,3.183665333
89.01,1.750665667
89.655,1.1539475
90.3,0.9544165
90.945,1.073414875
91.59,1.141470875
92.235,1.016288
92.88,0.928540286
93.525,0.8537012
94.17,0.860292
94.815,0.851696143
95.46,1.063146875
96.105,1.42615325
96.75,1.991434429
97.395,2.808725167
98.04,4.287014
98.685,NA
99.33,NA
99.975,NA
100.62,NA
101.265,NA
101.91,NA
102.555,NA
103.2,NA
103.845,NA
104.49,NA
105.135,NA
105.78,NA
106.425,NA
107.07,NA
107.715,NA
108.36,NA
109.005,NA
109.65,NA
110.295,NA
110.94,NA
111.585,NA
112.23,NA
112.875,NA
113.52,NA
114.165,NA
114.81,NA
115.455,NA
116.1,NA
116.745,NA
117.39,NA
118.035,NA
118.68,NA
119.325,NA
119.97,NA
120.615,NA
121.26,NA
121.905,NA
122.55,NA
123.195,NA
123.84,NA
124.485,NA
125.13,NA
125.775,NA
126.42,NA
127.065,NA
127.71,NA
128.355,NA
129,NA
129.645,NA
130.29,NA
130.935,NA
131.58,NA
132.225,NA
132.87,NA
133.515,NA
134.16,0.6017629
134.805,0.8093642
135.45,1.0689106
136.095,1.3058652
136.74,1.4405677
137.385,1.4819438
138.03,1.5073659
138.675,1.5973698
139.32,1.802087
139.965,2.1030012
140.61,2.4324456
141.255,2.7437699
141.9,2.9485199
142.545,3.0298082
143.19,3.065423
143.835,3.1004852
144.48,3.1596012
145.125,3.2624204
145.77,3.394902667
146.415,3.575404
147.06,3.7728
147.705,3.967469143
148.35,4.136213
148.995,4.299436
149.64,4.4247565
150.285,4.6909736
150.93,4.8804258
151.575,5.126754
152.22,5.4029973
152.865,5.6588864
153.51,5.8822774
154.155,6.0600087
154.8,6.2007169
155.445,6.3245866
156.09,6.4372207
156.735,6.5415051
157.38,6.6505952
158.025,6.789129
158.67,6.9584517
159.315,7.1217082
159.96,7.2608022
160.605,7.3932896
161.25,7.5371743
161.895,7.6731183
162.54,7.7465782
163.185,7.7416108
163.83,7.7002025
164.475,7.6695088
165.12,7.6718449
165.765,7.7069958
166.41,7.7709931
167.055,7.8607904
167.7,7.9753124
168.345,8.1189648
168.99,8.2932842
169.635,8.4679532
170.28,8.535594
170.925,8.4731773
171.57,8.4011603
172.215,8.3454587
172.86,8.297359
173.505,8.2664854
174.15,8.2671779
174.795,8.2977332
175.44,8.3493055
176.085,8.4221198
176.73,8.519632
177.375,8.6298276
178.02,8.7433625
178.665,8.8780312
179.31,9.0187393
179.955,9.1323003
180.6,9.2252548
181.245,9.3244619
181.89,9.4834897
182.535,9.7678891
183.18,10.1578892
183.825,10.5017584
184.47,10.7432817
185.115,10.9372078
185.76,11.1291025
186.405,11.3170368
187.05,11.5059956
187.695,11.7245351
188.34,11.9552976
188.985,12.1603188
189.63,12.3506671
190.275,12.5384476
190.92,12.6742595
191.565,12.7235302
192.21,12.7195968
192.855,12.7040195
193.5,12.7137177
194.145,12.7835916
194.79,12.9413201
195.435,13.1828819
196.08,13.4281513
196.725,13.5734311
197.37,13.6332836
198.015,13.7072808
198.66,13.8831084
199.305,14.1670243
199.95,14.406149
200.595,14.5281765
201.24,14.5913308
201.885,14.6521683
202.53,14.7351823
203.175,14.8381307
203.82,14.9351761
204.465,14.9968943
205.11,15.0152862
205.755,14.9904329
206.4,14.954821
207.045,14.9664498
207.69,15.046991
208.335,15.1950524
208.98,15.3854832
209.625,15.5799939
210.27,15.7574285
210.915,15.9478535
211.56,16.1691659
212.205,16.3758064
212.85,16.5506809
213.495,16.7273141
214.14,16.9212413
214.785,17.1041929
215.43,17.2453541
216.075,17.3557361
216.72,17.4661301
217.365,17.5993038
218.01,17.7694822
218.655,17.9769073
219.3,18.1819988
219.945,18.3310276
220.59,18.4455113
221.235,18.5864822
221.88,18.7631373
222.525,18.9326065
223.17,19.0507393
223.815,19.1194874
224.46,19.1647011
225.105,19.2140684
225.75,19.309874
226.395,19.5172605
227.04,19.8258922
227.685,20.0836198
228.33,20.2212265
228.975,20.2917198
229.62,20.3596138
230.265,20.475687
230.91,20.6773469
231.555,20.9087314
232.2,21.0722407
232.845,21.182944
233.49,21.2908375
234.135,21.410666
234.78,21.5309815
235.425,21.6441956
236.07,21.7756673
236.715,21.9843493
237.36,22.3031714
238.005,22.6039853
238.65,22.7706568
239.295,22.8451397
239.94,22.8838355
240.585,22.9246716
241.23,22.9859719
241.875,23.0744603
242.52,23.2043653
243.165,23.4163225
243.81,23.7053596
244.455,23.8840955
245.1,23.9047687
245.745,23.8991524
246.39,23.9462839
247.035,24.045389
247.68,24.1577202
248.325,24.2536307
248.97,24.3023957
249.615,24.2840215
250.26,24.2535179
250.905,24.2638257
251.55,24.3063766
252.195,24.3555206
252.84,24.384561
253.485,24.3776471
254.13,24.3572835
254.775,24.3586833
255.42,24.4066528
256.065,24.5512455
256.71,24.8590995
257.355,25.2202286
258,25.4279342
258.645,25.5145928
259.29,25.5617449
259.935,25.6169977
260.58,25.6949406
261.225,25.7891843
261.87,25.9006864
262.515,26.026493
263.16,26.1378774
263.805,26.2090169
264.45,26.2462438
265.095,26.2768259
265.74,26.3353972
266.385,26.4556303
267.03,26.6526284
267.675,26.9164979
268.32,27.1895138
268.965,27.3812623
269.61,27.5112156
270.255,27.6433262
270.9,27.7968654
271.545,27.9552314
272.19,28.1125054
272.835,28.296975
273.48,28.5209244
274.125,28.7361635
274.77,28.8971666
275.415,29.0085462
276.06,29.0988197
276.705,29.2082738
277.35,29.3862321
277.995,29.6668279
278.64,30.0016245
279.285,30.2871493
279.93,30.5011495
280.575,30.6646345
281.22,30.7945531
281.865,30.9088272
282.51,31.039284
283.155,31.1499746
283.8,31.1963695
284.445,31.1950629
285.09,31.1846665
285.735,31.1978664
286.38,31.2465394
287.025,31.3261263
287.67,31.4306649
288.315,31.564591
288.96,31.7292312
289.605,31.8893617
290.25,31.9673279
290.895,31.9169839
291.54,31.783881
292.185,31.6499007
292.83,31.5664947
293.475,31.5654584
294.12,31.6593537
294.765,31.7705913
295.41,31.7840402
296.055,31.7261682
296.7,31.6735114
297.345,31.6659925
297.99,31.7050651
298.635,31.7677087
299.28,31.8389579
299.925,31.9283609
300.57,32.038538
301.215,32.1315266
301.86,32.1774782
302.505,32.1870717
303.15,32.1976746
303.795,32.253299
304.44,32.3493335
305.085,32.4424244
305.73,32.5443988
306.375,32.7081815
307.02,32.9488133
307.665,33.1944905
308.31,33.3624666
308.955,33.459847
309.6,33.5400744
310.245,33.6646754
310.89,33.8579986
311.535,34.0537748
312.18,34.1799623
312.825,34.2438042
313.47,34.2918912
314.115,34.3662207
314.76,34.4905843
315.405,34.6818735
316.05,34.9500998
316.695,35.2678562
317.34,35.5117238
317.985,35.5430625
318.63,35.4721569
319.275,35.4270787
319.92,35.5023294
320.565,35.7835406
321.21,36.2887966
321.855,36.9297038
322.5,37.3762594
323.145,37.64255125
323.79,37.81200738
324.435,37.9257909
325.08,37.8718604
325.725,37.6685944
326.37,37.4393003
327.015,37.2866235
327.66,37.2655565
328.305,37.3991741
328.95,37.6419912
329.595,37.8560211
330.24,37.9663381
330.885,38.006184
331.53,38.0066502
332.175,37.9689821
332.82,37.9023607
333.465,37.8534751
334.11,37.8608248
334.755,37.9247171
335.4,38.0209654
336.045,38.1135094
336.69,38.1917186
337.335,38.2762128
337.98,38.3784728
338.625,38.488867
339.27,38.6018965
339.915,38.7189976
340.56,38.8230755
341.205,38.8867733
341.85,38.9182174
342.495,38.9712432
343.14,39.0907148
343.785,39.2733081
344.43,39.4791675
345.075,39.6568424
345.72,39.8101295
346.365,39.9585438
347.01,40.1099968
347.655,40.292252
348.3,40.5874909
348.945,41.033406
349.59,41.41292356
350.235,41.6483822
350.88,41.742556
351.525,41.7749183
352.17,41.8083417
352.815,41.8798078
353.46,41.980618
354.105,42.0604137
354.75,42.0856706
